ID,Mass,RT,22-72b1-silique-NL-0V,22-72b1-silique-NL-10V,22-72b1-silique-NL-15V,22-72b1-silique-NL-20V,22-72b1-silique-NL-25V,22-72b1-silique-NL-30V,22-72b1-silique-NL-35V,22-72b1-silique-NL-40V,22-72b1-silique-NL-45V,22-72b1-silique-NL-0V
119,194.0578,5.05,406670.397,467770.6499,443617.6507,370415.6386,296305.526,266634.4411,238619.8463,203849.2161,186088.1802,406670.397
120,168.0422,2.12,160936.9397,605398.6489,694587.3603,743675.4249,689408.1051,598172.4784,511839.448,456328.2802,379405.5566,160936.9397
121,716.4786,5.26,277419.1202,275706.1481,264750.8754,266618.9793,232207.4873,151283.9219,52680.82031,23364.53125,15913.94238,277419.1202
122,116.0107,5.02,57722.07022,189816.2483,216659.861,243178.7694,254699.0431,251920.3912,247836.4316,220128.7786,196903.3738,57722.07022
123,414.2252,6.37,164033.6429,190051.1727,157034.7185,125159.886,92006.54761,56637.83444,34933.1401,18765.68292,11309.79269,164033.6429
124,224.0682,3.16,134429.3056,571130.5032,679996.7734,661192.9883,579137.8001,467087.7906,392267.0094,335008.1222,286499.8436,134429.3056
125,506.1415,4.94,369688.8727,99367.80483,102205.6258,96296.12956,64699.80714,39804.54677,36881.81781,27326.58537,23697.89307,369688.8727
126,690.3461,9.41,243894.9987,304181.8053,276627.4438,212982.1552,84528.98138,22888.3942,11441.03118,6288.417323,7797.426674,243894.9987
127,360.1055,2.39,236350.0119,127749.8427,87806.0648,57288.52093,33330.17905,19190.26249,8010.999414,3655.19555,2078.17128,236350.0119
128,785.165,4.65,261622.2851,305356.5736,318018.1431,344946.7728,329293.2635,300050.7913,196734.8304,146739.6136,122197.5686,261622.2851
129,646.1291,3.43,227657.3673,24185.18633,4184.658867,3953.382918,3414.969453,3641.861893,2816.768648,3448.102556,2853.472004,227657.3673
130,808.4956,15.8,364658.6153,106864.5473,14675.3228,5404.328194,3163.326326,3163.987121,4437.083579,4097.514718,5477.193439,364658.6153
131,326.1,3.34,212591.2358,111563.9985,41795.48611,22620.0837,17303.70406,9859.10242,5723.289814,3678.058342,2548.27528,212591.2358
132,403.097,4.17,194231.2725,223195.956,202273.517,141506.8473,94274.25427,91848.71991,92049.52789,89531.24518,91888.94691,194231.2725
133,446.2065,10.13,200227.3918,190194.4668,110364.4553,49677.10922,41876.49196,44745.1946,41803.61845,30861.07772,27245.39693,200227.3918
134,829.5637,5.53,275876.9688,272528.3125,267159.7813,271888.8294,271321.4492,248857.1709,178304.2056,101151.8047,42010.375,275876.9688
135,776.4711,14.06,300848.1041,515437.6224,518328.3528,344075.7724,147098.0967,42221.20264,18951.53301,18790.15556,21993.82817,300848.1041
136,150.0317,5.01,159161.8568,326751.5738,691726.3978,946055.3798,1090378.215,1289382.463,1434814.513,1361402.735,1110669.975,159161.8568
137,462.2383,10.16,956793.763,906047.8128,543203.1767,251132.5553,178665.7255,201802.2559,173465.7225,149216.7686,136405.235,956793.763
138,408.2018,13.87,18934.35903,19012.6415,20019.57508,55818.88369,68345.29764,87185.52114,82219.18941,68859.76877,53250.13279,18934.35903
139,294.2192,13.88,1,51494.52058,117683.4813,130208.7793,155576.5156,206944.424,182022.1107,165213.9177,155594.9056,1
140,312.1207,4.84,1,1,1,1,5619.534018,30630.87026,96918.22637,193386.293,280799.1756,1
141,165.0547,5.01,157062.9384,698846.3505,718842.3118,997712.6981,1164562.412,875500.7418,471002.6866,343891.8334,433069.1308,157062.9384
142,192.027,0.96,286441.5217,60204.73587,50787.6981,51769.13172,40785.276,34142.82469,56417.25101,43575.14045,64339.18176,286441.5217
143,152.0109,2.83,25640.98754,49242.5712,176193.1949,252966.6102,249742.8263,202810.7557,155909.2086,149725.2603,158379.7779,25640.98754
144,448.0999,3.41,1,1,1,1,134161.4741,183162.3187,207651.2951,191156.9265,139506.4798,1
145,528.2931,10.18,165764.8216,185828.6444,103432.1315,28417.43839,5156.204141,3693.505856,3352.15329,2205.551103,2982.977039,165764.8216
146,224.1411,7.46,33331.19166,179583.0307,301639.4476,278107.4357,195818.656,125556.3459,50848.16966,46957.08009,51846.50867,33331.19166
147,478.233,9.01,185642.3988,181327.6836,144036.113,57127.29409,27833.97623,21143.68373,21812.0081,17489.9326,16931.0499,185642.3988
148,278.2247,18,1,15815.69448,89656.21944,151367.3752,175485.4685,187426.0223,216870.8818,211999.2117,205991.0219,1
149,802.4858,14.92,400888.7144,489181.0358,474906.5928,360688.0254,176610.8336,66559.05289,38869.99475,39716.85851,40141.52821,400888.7144
150,641.158,4.72,322043.1791,112621.7073,16195.64504,3273.074738,1,3117.78949,1,1,3013.026387,322043.1791
151,657.1536,4.31,349418.8694,62760.20662,11016.14904,11859.48445,8435.766546,7353.515028,6147.751671,4213.343249,3796.887597,349418.8694
152,432.101,4.44,4805.712622,15822.48141,42484.52596,91087.82668,133723.4889,164739.1084,157911.0389,164119.4169,136352.0275,4805.712622
153,164.0471,4.74,132670.5941,150395.806,247875.0315,356761.6089,472805.004,539537.5571,535517.6758,544385.0664,516519.8479,132670.5941
154,934.2734,4.78,807389.5658,390691.671,121096.2519,66039.72499,69858.56376,64190.24721,51739.10947,55080.19083,44285.12608,807389.5658
155,292.2036,8.39,2168.385926,3141.781857,18650.77644,76507.05335,139329.0011,168037.0059,181286.5819,202847.1097,181647.9226,2168.385926
156,273.9663,0.81,176313.4063,141537.0156,162076.5625,165693.7188,170553.2969,170995.0625,176080.3799,171777.2986,168393.3017,176313.4063
157,286.0691,2.83,862819.6899,955179.5342,703346.7837,531355.7557,466463.9873,419573.6889,350760.1712,270469.0054,188819.7162,862819.6899
