ID,Mass,RT,2-cad4572b1-Sili-1,2-cad4572b1-Sili-2,2-cad4572b1-Sili-3,2-cad4572b1-Sili-4,2-cad4572b1-Sili-6,2-Col-Sili-1,2-Col-Sili-2,2-Col-Sili-3,2-Col-Sili-4,2-Col-Sili-5
4895,416.2043,7.14,18104.28915,14840.56962,16827.16034,19468.34703,15431.39688,5369.403137,5704.295109,5222.765926,5025.625967,5988.274144
4896,280.0554,4.91,5290.749103,6648.379501,5721.518009,6712.788313,5185.159117,1035.469116,21190.70313,21643.96342,23117.07813,23253.34766
4897,102.0504,8.89,18140.66992,11110.12598,14569.97504,17977.64563,5487.043457,1,1,6344.027344,1,3634.871477
4898,266.1879,13.91,5574.514283,6187.244629,3865.193138,2772.75293,5864.880296,1,6499.775525,6102.668945,3847.515869,4266.59668
4899,342.0947,5.22,9502.892775,7046.210538,7411.486718,14335.12501,18025.29112,2186.320085,1282.587714,1629.203455,35832.01898,36156.15896
4900,342.0946,1.43,15006.22145,14763.72045,14040.73189,14080.29608,15669.31661,4930.709414,5563.60111,6586.208361,6894.827836,5705.33687
4901,344.0497,5.72,7490.690327,6542.159323,6012.9639,3949.749588,4136.496551,2742.800049,8117.958076,15774.35382,6091.426758,16420.88867
4902,492.1754,6.28,14200.80412,14725.81771,14905.47838,14282.31124,13953.41375,5238.637016,3094.36909,6074.541849,2441.011222,2686.566878
4903,244.0944,4.62,20755.22415,15387.30591,15945.07172,12982.14217,6694.947296,2348.812988,2223.075111,6338.442275,4199.824686,5805.187464
4904,829.409,11.92,19848.90383,17126.2705,21126.33199,20329.5289,21580.8139,2706.515877,4553.634345,1,3415.335889,4988.775607
4905,526.1682,3.26,7190.349333,8690.588393,7369.487209,7778.452572,6523.743128,16464.55019,19456.19262,18344.98914,14983.29233,16482.10682
4906,366.0893,2.1,161113.013,186620.4357,225971.2098,165659.3033,157918.3631,8340.634187,15279.01823,11718.23419,15979.53989,11950.81579
4907,222.1102,2.83,13385.42383,13130.16895,13458.85996,14501.2656,14134.18614,2382.561035,2465.224365,2622.801758,2484.69751,2710.760742
4908,880.4804,13.55,52355.67252,58084.34684,56281.15952,39272.3916,63800.89137,7832.724102,12864.87814,18567.32665,9949.72428,9165.324285
4909,708.1206,4.55,11066.90305,8103.832881,8176.424437,5835.757223,9449.397196,16051.06765,13547.29111,14479.69305,14200.79293,12036.20273
